,column_to_slice,slice_value,precision,recall,fbeta
0,education,HS-grad,0.4748603351955307,0.23876404494382023,0.3177570093457944
1,education,Some-college,0.5535714285714286,0.2421875,0.33695652173913043
2,education,Masters,0.8875,0.34299516908212563,0.49477351916376305
3,education,Assoc-acdm,0.6153846153846154,0.37209302325581395,0.463768115942029
4,education,Bachelors,0.8043478260869565,0.34660421545667447,0.4844517184942717
5,education,Doctorate,0.9629629629629629,0.4,0.5652173913043478
6,education,11th,0.4166666666666667,0.38461538461538464,0.4
7,education,5th-6th,0.0,0.0,0.0
8,education,Prof-school,0.9782608695652174,0.5172413793103449,0.6766917293233082
9,education,7th-8th,0.3333333333333333,0.4,0.36363636363636365
10,education,10th,0.2,0.18181818181818182,0.19047619047619047
11,education,12th,0.5,0.6,0.5454545454545454
12,education,Assoc-voc,0.8275862068965517,0.35294117647058826,0.4948453608247423
13,education,1st-4th,0.0,0.0,0.0
14,education,9th,0.6666666666666666,0.25,0.36363636363636365
15,education,Preschool,1.0,1.0,1.0
